Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Guyana,2020,68.486,90.9459686279297,36.7356251249903,0.247846784467682,42.50172865516038,94.0,6863.07434593017,-108166905.995204,73.214,96.53492969419341,2288.1459067265823,98.0
High income,2020,80.0883965374498,99.9418043606655,14.7015567813061,1.10566499280311,65.53679099871124,70.58685141668684,43415.6766809454,-15095238.0952381,18.7172476631442,98.7961273193359,5291656.372795433,92.9116865755592
"Hong Kong SAR, China",2020,85.4975609756098,100.0,35.3314724640408,24.1853380778519,37.03324393843832,70.58685141668684,46107.7652757721,20121048832.0528,0.0,105.418197631836,8971439.416704386,63.34496520464836
Honduras,2020,71.462,83.6860580444336,15.9223851400961,-0.575003794203713,54.37001323501613,83.0,2354.11961431042,-1657390193.59773,41.641,93.63166551775157,21343.93932700908,82.0
Heavily indebted poor countries (HIPC),2020,62.7617201814617,29.8361886925683,11.4645239850325,-0.0123574064999482,20.737020253322157,82.4136165328826,958.439861836993,-33000000.0,62.9706191473041,70.2172012329102,1697246.9337416813,71.7191934040725
Croatia,2020,77.7243902439024,100.0,25.0666733730685,0.813327739032828,68.93452448477979,98.0,14198.7539594744,1435224428.32347,42.447,95.7484512329102,0.0,91.0
Haiti,2020,64.052,2.20019745826721,3.92867442524108,-0.008242290645326555,51.26238284309761,73.0,1283.14082978936,28603899.911543,42.912,77.89947193122225,0.0,65.0
Hungary,2020,75.5682926829269,100.0,25.9611619085565,104.693453071859,71.37397023471885,99.0,16120.9890495243,-3726627993.80945,28.058,94.4246063232422,22995.480966527015,99.0
IBRD only,2020,73.3796956113041,98.4448762440821,6.95860631499612,0.757232305020766,43.97298166004907,99.0,6159.53415914242,-338717466.35543823,43.6912736121258,96.1567687988281,17160863.22439289,88.6119552102359
IDA & IBRD total,2020,70.8220309802864,81.4939927487023,7.01650541386999,0.718581532887903,33.54056109603425,85.6807972696119,4888.96620866939,-338717466.35543823,48.5970454571467,89.41259765625,22485177.651356697,82.7178728621497
IDA total,2020,63.748926085736,48.1933713657051,7.77504117265615,0.168583420060056,11.030738277363753,37.38574418124381,1374.94955936037,-338717466.35543823,62.1775951451807,76.6587371826172,5370027.986058116,74.3415622712627
IDA blend,2020,61.0062879415561,49.9232526412664,6.07884630943068,0.209571008740718,11.030738277363753,37.38574418124381,1719.89506474412,-338717466.35543823,56.8394123498261,77.9258728027344,1496432.5483097956,72.5142791131584
Indonesia,2020,68.808,93.4882354736328,3.75818161031989,0.475361895368403,24.01515274288954,87.0,3894.27220196922,-28278644760.7181,43.359,113.74237531945641,755489.1497609094,76.0
