Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
IDA total,2021,63.4029037247301,63.5383409138912,8.10615023578961,0.270927172318593,11.030738277363753,37.38574418124381,1465.39607429896,-1003585814.63699,61.6668077016249,75.10287761688232,5438881.159303367,71.8822079058354
IDA blend,2021,60.6802512013328,26.6915212436299,5.95642532045476,0.392421701667321,11.030738277363753,37.38574418124381,1842.77104941479,-1003585814.63699,56.3462323547884,47.9846305847168,1516865.349714525,71.750069053774
Indonesia,2021,67.57,107.78430617112099,3.58328201623326,0.331063941072096,24.506150230937465,81.0,4332.70928089396,-31627713584.944,42.71,114.80492081499165,769911.6597276665,72.0
IDA only,2021,64.7473008171317,16.771026766198247,10.0168830031668,0.159282705621722,0.9382708046348398,58.076330929422056,1281.63432040352,-20105846400.3361,64.2979123312708,74.84527806018264,3923027.036477506,71.9485232228799
Isle of Man,2021,80.525,100.0,7.637416501717212,-0.09985818092153842,0.9382708046348398,58.076330929422056,106579.40887093823,-522846058.4785309,46.924,37.6882400512695,1597910.090713784,13.23146708211425
India,2021,67.24,94.58712981787266,11.9204749870989,0.542730888786125,17.85952245901194,84.0,2256.59040870506,-49432533231.1463,64.607,97.3657073974609,3338855.3418073654,89.0
Not classified,2021,49.539,0.0,0.16256240180359782,-0.17497190502661653,2.576611835885842,5.765853658536798,143.456124984427,-413328246.216457,79.347,41.4473495483398,533626.3027023375,8.143669985775432
Ireland,2021,82.1024390243903,100.0,137.223947659213,28.4931928664735,70.4144963941335,0.0,100172.079253421,-121588593310.545,36.088,41.4473495483398,7912.949718942924,90.0
"Iran, Islamic Rep.",2021,73.875,100.0,59.6395411056782,0.0226862278962518,61.17479674796755,99.0,4091.20918670534,1201708222.878868,23.655,104.87329749080459,582394.3899018229,99.0
Iraq,2021,70.378,94.1598510742188,10.1796949467749,0.0647459865250276,64.524082327202,94.0,4775.3774539013,-2064200000.0,28.881,76.82198728325125,254666.84084107354,75.0
Iceland,2021,83.1170731707317,100.0,25.0205151772175,-0.255764254467834,71.9310725765065,89.81841017745728,68727.636664709,-4527200000.0,6.056,42.7459907531738,902842.1382977553,92.0
Israel,2021,82.5,100.0,21.843439399597,1.9355140636194,74.80939416038655,89.81841017745728,52170.7118623335,-7362396244.91983,7.32599999999999,89.4007110595703,183705.49082837295,99.0
Italy,2021,82.7951219512195,100.0,10.4342605341559,2.69524164103192,68.81867217675517,75.0,35657.4975631691,37764661552.7126,28.654,100.00727824795158,336824.15276474133,92.0
Jamaica,2021,70.5,98.79705550088374,41.3869304654557,0.383111635230812,49.54996353618003,97.0,5183.58130458676,-418800040.586219,43.348,80.59979535182333,4004.779737385572,88.0
Jordan,2021,74.256,101.0057910197632,18.9507296215686,0.0347923190829623,72.57203089971085,76.0,4103.25896599583,-245774647.887324,8.374,80.7191390991211,113603.97621230024,76.0
Japan,2021,84.4456097560976,100.0,7.65955468801945,4.26601560770778,33.17093428409373,95.0,39312.6603730693,190997384536.9004,8.133,73.532600402832,263243.7284182394,98.0
Kazakhstan,2021,70.23,100.5427522362292,6.99807095031275,1.35108512096276,56.91301893417585,94.0,10373.7897924367,-24188943146.8439,42.179,111.07020706908202,80935.40903540899,97.0
Kenya,2021,61.427,49.866758078321254,8.18803557056223,0.371547070484461,16.6126407908597,97.0,2081.79985458438,-1655839186.70311,71.507,87.30890299971327,32260.55493337591,89.0
